"Incident ID","Incident Date",State,"City Or County",Address,"Victims Injured","Victims Killed","Subjects-Suspects Injured","Subjects-Suspects Killed","Subjects-Suspects Arrested",Operations
2594470,"May 10, 2023",Michigan,"Grand Rapids","863 7th St NW",0,0,0,0,0,N/A
2594233,"May 10, 2023",Wisconsin,Milwaukee,"2828 W Center St",1,0,0,0,0,N/A
2595000,"May 10, 2023",Kansas,Wichita,"S Rutan St and E Sunnybrook Ln",0,1,0,0,1,N/A
2596329,"May 10, 2023",Wisconsin,Milwaukee,"5501 N 68th St",0,0,0,0,1,N/A
2595301,"May 10, 2023",Texas,Dallas,"4767 S R L Thornton Fwy",0,0,1,1,2,N/A
2595327,"May 10, 2023","New York",Riverhead,"Maple Wood Ln",0,0,1,0,0,N/A
2594173,"May 10, 2023",Alabama,Tuskegee,"205 Lakeview Rd",1,1,0,0,1,N/A
2594961,"May 10, 2023",Oklahoma,"Broken Arrow","2500 block of W Honolulu St",0,2,1,0,1,N/A
2595289,"May 10, 2023",Illinois,Alton,"1601 block of Rock Spring Dr",0,1,0,0,0,N/A
2594714,"May 10, 2023",Maryland,"District Heights","1800 block of Tanow Pl",1,1,0,0,0,N/A
2594414,"May 10, 2023",Georgia,Macon,"600 block of Paul St",0,1,0,0,1,N/A
2595199,"May 10, 2023","New York","Corona (Queens)","121 14 Lucas St",1,0,0,0,0,N/A
2594409,"May 10, 2023",Georgia,Milledgeville,"196 GA-49",1,0,0,0,1,N/A
2594404,"May 10, 2023",California,Stockton,"1400 block of E Hammer Ln",1,0,0,0,0,N/A
2594911,"May 10, 2023",Missouri,"Saint Louis","4000 block of Kennerly Ave",0,1,0,0,0,N/A
2595220,"May 10, 2023",Missouri,Springfield,"1401 N Grant Ave",0,1,0,0,0,N/A
2595012,"May 10, 2023",Iowa,"Cedar Rapids","3500 block of Oakland Rd NE",0,1,0,0,0,N/A
